Global Stock Index Fund

Date,NAV
"""05/03/2014""","""14.6509"""
"""04/03/2014""","""14.6343"""
"""03/03/2014""","""14.4059"""
"""28/02/2014""","""14.5384"""
"""27/02/2014""","""14.6148"""
"""26/02/2014""","""14.5961"""
"""25/02/2014""","""14.5636"""
"""24/02/2014""","""14.5614"""
"""21/02/2014""","""14.4668"""
"""20/02/2014""","""14.4668"""
"""19/02/2014""","""14.4145"""
"""18/02/2014""","""14.4620"""
"""17/02/2014""","""14.4507"""
"""14/02/2014""","""14.4372"""
"""13/02/2014""","""14.3971"""
"""12/02/2014""","""14.4303"""
"""11/02/2014""","""14.3043"""
"""10/02/2014""","""14.1791"""
"""07/02/2014""","""14.1654"""
"""06/02/2014""","""14.0166"""
"""05/02/2014""","""13.9038"""
"""04/02/2014""","""13.9028"""
"""03/02/2014""","""13.9120"""
"""31/01/2014""","""14.1819"""
"""30/01/2014""","""14.1799"""
"""29/01/2014""","""14.0622"""
"""28/01/2014""","""14.1076"""
"""27/01/2014""","""14.0416"""
"""24/01/2014""","""14.1466"""
"""23/01/2014""","""14.4331"""
"""22/01/2014""","""14.6554"""
"""21/01/2014""","""14.6560"""
"""20/01/2014""","""14.6144"""
"""17/01/2014""","""14.6231"""
"""16/01/2014""","""14.5935"""
"""15/01/2014""","""14.6073"""
"""14/01/2014""","""14.4352"""
"""13/01/2014""","""14.4154"""
"""10/01/2014""","""14.4806"""
"""09/01/2014""","""14.4957"""
"""08/01/2014""","""14.5132"""
"""07/01/2014""","""14.4830"""
"""06/01/2014""","""14.3880"""
"""03/01/2014""","""14.4615"""
"""02/01/2014""","""14.4064"""
"""31/12/2013""","""14.4171"""
"""30/12/2013""","""14.3378"""
"""27/12/2013""","""14.3588"""
"""26/12/2013""","""14.3774"""
"""24/12/2013""","""14.3458"""
"""23/12/2013""","""14.2833"""
"""20/12/2013""","""14.2265"""
"""19/12/2013""","""14.1561"""
"""18/12/2013""","""14.0183"""
"""17/12/2013""","""13.8681"""
"""16/12/2013""","""13.8920"""
"""13/12/2013""","""13.8235"""
"""12/12/2013""","""13.8092"""
"""11/12/2013""","""13.8693"""
"""10/12/2013""","""14.0104"""
"""09/12/2013""","""14.0929"""
"""06/12/2013""","""14.0859"""
"""05/12/2013""","""13.9931"""
"""04/12/2013""","""14.1478"""
"""03/12/2013""","""14.1888"""
"""02/12/2013""","""14.2914"""
"""29/11/2013""","""14.2917"""
"""28/11/2013""","""14.3122"""
"""27/11/2013""","""14.3028"""
"""26/11/2013""","""14.2906"""
"""25/11/2013""","""14.3631"""
"""22/11/2013""","""14.3395"""
"""21/11/2013""","""14.3458"""
"""20/11/2013""","""14.2992"""
"""19/11/2013""","""14.2774"""
"""18/11/2013""","""14.3330"""
"""15/11/2013""","""14.3746"""
"""14/11/2013""","""14.3143"""
"""13/11/2013""","""14.2705"""
"""12/11/2013""","""14.2046"""
"""11/11/2013""","""14.2566"""
"""08/11/2013""","""14.2780"""
"""07/11/2013""","""14.1721"""
"""06/11/2013""","""14.1871"""
"""05/11/2013""","""14.1643"""
"""04/11/2013""","""14.1644"""
"""01/11/2013""","""14.1361"""
"""31/10/2013""","""14.0689"""
"""30/10/2013""","""13.9669"""
"""29/10/2013""","""13.9894"""
